ID,Q1: 您的生理性別 Gender,Q2: 你的出生西元年 your birth year,Q3: 您的星座 constellation    ,Q4: 您是哪個學院的 which college you come from,Q7: 您的性格傾向（依照您自己的觀察判斷）Personality   and  personal characters ,personality,Q8: 您的課外活動/社團活動參與 involvement in after-class extracurricular activities,Q9: 您的學業表現 (過去以來的狀況) your academic performance level in general,Q10: 您的居住狀態 where do you live?,你主要使用的手機廠牌 Brand of your major cellurla phone,這隻手機使用多久How long you have this phone?,手機上網流量 internet connection type,A: 關於手機的一些資訊 some information about cellalur phone usage [S1. FB的朋友數 number of friends you have at FB],A: 關於手機的一些資訊 some information about cellalur phone usage [S2. LINE的好友數 number of friends you have at LINE],A: 關於手機的一些資訊 some information about cellalur phone usage [S3. LINE的群組數 number of groups you are in at LINE],A: 關於手機的一些資訊 some information about cellalur phone usage [S4. IG的粉絲數 number of followers at IG],A: 關於手機的一些資訊 some information about cellalur phone usage [S5. IG的追蹤中人數 number of following at IG],B: 手機使用行為 Cellular phone usage [B1. 每天用手機玩手機遊戲的時間大約幾分鐘 time (minutes) of playing game on the phone per day ],B: 手機使用行為 Cellular phone usage [B2. 每天用手機看影片追劇的時間大約幾分鐘 time (minutes) of watching vedio/film/drama on the phone per day ],B: 手機使用行為 Cellular phone usage [B3: 每天用手機瀏覽新聞的時間大約幾分鐘 time (minutes) of reading news on the phone per day ],B: 手機使用行為 Cellular phone usage [B4. 一週用手機叫餐買食物飲料的次數 number of ordering food/drinks per week in average],B: 手機使用行為 Cellular phone usage [B5. 一週用手機叫車搭車的次數 number of calling taxi per week in average],B: 手機使用行為 Cellular phone usage [B6: 手機剩下%多少電力時會感到焦慮(請填0-100的數值) how many % of power left may feel nervous],"C: 手機使用習慣 tendency of using phone [C1. 我曾因長時間玩手機遊戲而眼睛酸澀、肌肉痠痛，或有其他身體不適 I have often experienced dry/sore eyes, muscle aches, or other physical discomforts from playing mobile games for a long duration.a]","C: 手機使用習慣 tendency of using phone [C2. 我常常原本沒有打算玩手機遊戲，卻會忍不住拿起手機來玩一下（滑一下） I often do not plan on playing mobile games, but cannot resist picking up my phone to play (swipe).]",C: 手機使用習慣 tendency of using phone [C3. 在過去3個月裡，我感覺需要更常玩手機遊戲，或玩更久的時間才覺得我玩夠了 I find that I am spending more time playing mobile games],"C: 手機使用習慣 tendency of using phone [C4. 如果不能玩手機遊戲，我會覺得靜不下心，感到很煩躁 If I cannot play a mobile game, I feel restless and irritable.]",總時間
382,女,2002,6. 巨蟹座(6/22-7/22) Cancer,教育學院College of Education,2. 中性平衡 Balance and equal,FALSE,3. 積極參與 highly involve,2跟其他同學差不多 in average and similar to others,L4: 學校宿舍 live in school's dorm,歐寶OPPO,6. 四年以上上未滿五年 > 4 years less than 5 years,1. 吃到飽沒上限 unlimited data,750,292,128,115,310,0,60,60,0,0,10,3符合 agree,3符合 agree,3符合 agree,3符合 agree,2704.41
383,男,2002,6. 巨蟹座(6/22-7/22) Cancer,理學院College of Science,1. 內向安靜 Introvert and gentle,383,2. 偶而參與 occasionally involve,3比其他同學稍好些 above average,L4: 學校宿舍 live in school's dorm,三星SAMSUNG,3. 一年以上未滿兩年 > 1 year less than 2 years,1. 吃到飽沒上限 unlimited data,108,236,56,291,437,0,50,15,1,0,40,3符合 agree,2不符合 disagree,1極不符合 extremely disagree,1極不符合 extremely disagree,160.84
384,女,2003,6. 巨蟹座(6/22-7/22) Cancer,科技學院College of Technology and Engineering,1. 內向安靜 Introvert and gentle,384,2. 偶而參與 occasionally involve,2跟其他同學差不多 in average and similar to others,L2: 住在自己家裡(沒有與父母住在一起) live in home without parents,蘋果APPLE/Iphone,2. 半年以上未滿一年  > .5 year less than 1 year,1. 吃到飽沒上限 unlimited data,841,326,182,393,384,45,70,0,5,3,10,3符合 agree,4非常符合 extremely agree,3符合 agree,2不符合 disagree,502.29
385,女,2003,6. 巨蟹座(6/22-7/22) Cancer,文學院College of Liberal Arts,1. 內向安靜 Introvert and gentle,385,1. 從不參與  never involve,2跟其他同學差不多 in average and similar to others,L4: 學校宿舍 live in school's dorm,索尼SONY,1. 半年內 within an half year,1. 吃到飽沒上限 unlimited data,86,73,34,18,39,60,0,0,0,0,30,3符合 agree,2不符合 disagree,2不符合 disagree,2不符合 disagree,1174.64
386,女,2003,6. 巨蟹座(6/22-7/22) Cancer,理學院College of Science,2. 中性平衡 Balance and equal,FALSE,2. 偶而參與 occasionally involve,3比其他同學稍好些 above average,L4: 學校宿舍 live in school's dorm,Realme,4. 二年以上未滿三年 > 2 years less than 3 years,1. 吃到飽沒上限 unlimited data,371,150,59,222,203,90,60,5,0,0,20,2不符合 disagree,3符合 agree,2不符合 disagree,2不符合 disagree,318.45
387,女,2003,6. 巨蟹座(6/22-7/22) Cancer,我不是台師大學生 Not NTNU student,5. 難以捉摸 Hart to say and unstable,FALSE,3. 積極參與 highly involve,2跟其他同學差不多 in average and similar to others,L1: 住在自己家裡(與父或母住在一起) live in home with parents,蘋果APPLE/Iphone,2. 半年以上未滿一年  > .5 year less than 1 year,2. 有限制不是吃到飽 limited data,沒有fb,84,40,227,227,0,120,0,0,0,50,3符合 agree,2不符合 disagree,1極不符合 extremely disagree,1極不符合 extremely disagree,292.53
388,女,2003,6. 巨蟹座(6/22-7/22) Cancer,教育學院College of Education,2. 中性平衡 Balance and equal,FALSE,3. 積極參與 highly involve,3比其他同學稍好些 above average,L1: 住在自己家裡(與父或母住在一起) live in home with parents,蘋果APPLE/Iphone,1. 半年內 within an half year,1. 吃到飽沒上限 unlimited data,1000多,100多,70多,300初,400初,120,50,0,0,0,5,3符合 agree,4非常符合 extremely agree,1極不符合 extremely disagree,1極不符合 extremely disagree,204.95
389,女,2003,6. 巨蟹座(6/22-7/22) Cancer,教育學院College of Education,3. 外向活潑 Outward and active,FALSE,2. 偶而參與 occasionally involve,4在課業上我應該算是很厲害的 excellent and outstanding,L1: 住在自己家裡(與父或母住在一起) live in home with parents,蘋果APPLE/Iphone,4. 二年以上未滿三年 > 2 years less than 3 years,1. 吃到飽沒上限 unlimited data,273,319,91,592,563,60,60,30,2,0,20,2不符合 disagree,3符合 agree,1極不符合 extremely disagree,1極不符合 extremely disagree,234.24
390,男,2003,6. 巨蟹座(6/22-7/22) Cancer,我不是台師大學生 Not NTNU student,2. 中性平衡 Balance and equal,FALSE,2. 偶而參與 occasionally involve,2跟其他同學差不多 in average and similar to others,L4: 學校宿舍 live in school's dorm,蘋果APPLE/Iphone,3. 一年以上未滿兩年 > 1 year less than 2 years,1. 吃到飽沒上限 unlimited data,150,280,70,150,140,30,60,30,0,0,40,4非常符合 extremely agree,3符合 agree,2不符合 disagree,2不符合 disagree,208.31
391,女,2003,6. 巨蟹座(6/22-7/22) Cancer,管理學院College of Management,1. 內向安靜 Introvert and gentle,391,2. 偶而參與 occasionally involve,3比其他同學稍好些 above average,L1: 住在自己家裡(與父或母住在一起) live in home with parents,歐寶OPPO,5. 三年以上未滿四年 > 3 years less than 4 years,1. 吃到飽沒上限 unlimited data,169,163,51,111,262,30,60,60,0,0,20,3符合 agree,3符合 agree,2不符合 disagree,2不符合 disagree,182.37
392,女,2003,6. 巨蟹座(6/22-7/22) Cancer,我不是台師大學生 Not NTNU student,4. 內外雙極 In-outward polarized,FALSE,3. 積極參與 highly involve,4在課業上我應該算是很厲害的 excellent and outstanding,L1: 住在自己家裡(與父或母住在一起) live in home with parents,蘋果APPLE/Iphone,3. 一年以上未滿兩年 > 1 year less than 2 years,1. 吃到飽沒上限 unlimited data,550,141,78,373,352,240,30,10,0,0,10,3符合 agree,3符合 agree,3符合 agree,3符合 agree,220.92
393,女,2003,6. 巨蟹座(6/22-7/22) Cancer,管理學院College of Management,2. 中性平衡 Balance and equal,FALSE,2. 偶而參與 occasionally involve,2跟其他同學差不多 in average and similar to others,L4: 學校宿舍 live in school's dorm,蘋果APPLE/Iphone,6. 四年以上上未滿五年 > 4 years less than 5 years,1. 吃到飽沒上限 unlimited data,147,136,38,405,411,0,120,30,1,0,30,2不符合 disagree,3符合 agree,2不符合 disagree,2不符合 disagree,318.07
394,女,2003,6. 巨蟹座(6/22-7/22) Cancer,我不是台師大學生 Not NTNU student,2. 中性平衡 Balance and equal,FALSE,2. 偶而參與 occasionally involve,2跟其他同學差不多 in average and similar to others,L1: 住在自己家裡(與父或母住在一起) live in home with parents,索尼SONY,6. 四年以上上未滿五年 > 4 years less than 5 years,1. 吃到飽沒上限 unlimited data,276,90,20,122,119,0,90,20,0,0,15,3符合 agree,2不符合 disagree,2不符合 disagree,2不符合 disagree,241.19
395,男,2003,6. 巨蟹座(6/22-7/22) Cancer,我不是台師大學生 Not NTNU student,2. 中性平衡 Balance and equal,FALSE,2. 偶而參與 occasionally involve,1稍微有一點落後其他同學 below average,L1: 住在自己家裡(與父或母住在一起) live in home with parents,蘋果APPLE/Iphone,4. 二年以上未滿三年 > 2 years less than 3 years,1. 吃到飽沒上限 unlimited data,500,200,25,260,200,5,3,1,2,1,15,4非常符合 extremely agree,4非常符合 extremely agree,4非常符合 extremely agree,3符合 agree,171.82
396,男,2003,6. 巨蟹座(6/22-7/22) Cancer,管理學院College of Management,3. 外向活潑 Outward and active,FALSE,2. 偶而參與 occasionally involve,1稍微有一點落後其他同學 below average,L1: 住在自己家裡(與父或母住在一起) live in home with parents,蘋果APPLE/Iphone,5. 三年以上未滿四年 > 3 years less than 4 years,2. 有限制不是吃到飽 limited data,401,225,12,275,579,45,0,0,0,0,50,4非常符合 extremely agree,4非常符合 extremely agree,4非常符合 extremely agree,4非常符合 extremely agree,344.74
397,女,2003,6. 巨蟹座(6/22-7/22) Cancer,我不是台師大學生 Not NTNU student,2. 中性平衡 Balance and equal,FALSE,1. 從不參與  never involve,2跟其他同學差不多 in average and similar to others,L1: 住在自己家裡(與父或母住在一起) live in home with parents,三星SAMSUNG,4. 二年以上未滿三年 > 2 years less than 3 years,1. 吃到飽沒上限 unlimited data,150,111,17,68,148,0,60,0,0,0,5,3符合 agree,1極不符合 extremely disagree,1極不符合 extremely disagree,1極不符合 extremely disagree,719.21
398,女,2003,6. 巨蟹座(6/22-7/22) Cancer,我不是台師大學生 Not NTNU student,1. 內向安靜 Introvert and gentle,398,2. 偶而參與 occasionally involve,3比其他同學稍好些 above average,L5: 租房子 rent a house/room out of school,蘋果APPLE/Iphone,3. 一年以上未滿兩年 > 1 year less than 2 years,1. 吃到飽沒上限 unlimited data,200,300,20,140,160,120,180,30,0,0,30,4非常符合 extremely agree,4非常符合 extremely agree,4非常符合 extremely agree,3符合 agree,834.18
399,女,2003,6. 巨蟹座(6/22-7/22) Cancer,我不是台師大學生 Not NTNU student,1. 內向安靜 Introvert and gentle,399,2. 偶而參與 occasionally involve,2跟其他同學差不多 in average and similar to others,L1: 住在自己家裡(與父或母住在一起) live in home with parents,蘋果APPLE/Iphone,2. 半年以上未滿一年  > .5 year less than 1 year,1. 吃到飽沒上限 unlimited data,619,82,41,371,387,480,120,40,3,0,20,3符合 agree,3符合 agree,3符合 agree,2不符合 disagree,448.18
400,男,2003,6. 巨蟹座(6/22-7/22) Cancer,我不是台師大學生 Not NTNU student,3. 外向活潑 Outward and active,FALSE,3. 積極參與 highly involve,2跟其他同學差不多 in average and similar to others,L5: 租房子 rent a house/room out of school,蘋果APPLE/Iphone,1. 半年內 within an half year,1. 吃到飽沒上限 unlimited data,300,500,250,500,400,600,30,0,1,0,20,2不符合 disagree,2不符合 disagree,2不符合 disagree,2不符合 disagree,109.93
401,男,2003,6. 巨蟹座(6/22-7/22) Cancer,其它,3. 外向活潑 Outward and active,FALSE,3. 積極參與 highly involve,3比其他同學稍好些 above average,L4: 學校宿舍 live in school's dorm,華碩ASUS,3. 一年以上未滿兩年 > 1 year less than 2 years,2. 有限制不是吃到飽 limited data,101,68,22,101,83,200,24,20,0,0,3,4非常符合 extremely agree,3符合 agree,2不符合 disagree,3符合 agree,258.82
402,男,2003,6. 巨蟹座(6/22-7/22) Cancer,我不是台師大學生 Not NTNU student,2. 中性平衡 Balance and equal,FALSE,1. 從不參與  never involve,2跟其他同學差不多 in average and similar to others,L5: 租房子 rent a house/room out of school,三星SAMSUNG,3. 一年以上未滿兩年 > 1 year less than 2 years,2. 有限制不是吃到飽 limited data,162,113,52,113,151,45,0,20,0,0,15,2不符合 disagree,2不符合 disagree,2不符合 disagree,2不符合 disagree,136.59
403,男,2003,6. 巨蟹座(6/22-7/22) Cancer,我不是台師大學生 Not NTNU student,2. 中性平衡 Balance and equal,FALSE,2. 偶而參與 occasionally involve,1稍微有一點落後其他同學 below average,L4: 學校宿舍 live in school's dorm,小米MI,3. 一年以上未滿兩年 > 1 year less than 2 years,1. 吃到飽沒上限 unlimited data,2,233,89,300,300,80,40,40,0,0,10,3符合 agree,2不符合 disagree,3符合 agree,2不符合 disagree,327
404,女,2003,6. 巨蟹座(6/22-7/22) Cancer,我不是台師大學生 Not NTNU student,4. 內外雙極 In-outward polarized,FALSE,3. 積極參與 highly involve,3比其他同學稍好些 above average,L5: 租房子 rent a house/room out of school,蘋果APPLE/Iphone,3. 一年以上未滿兩年 > 1 year less than 2 years,1. 吃到飽沒上限 unlimited data,500,450,200,500,500,0,30,3,3,0,15,2不符合 disagree,3符合 agree,1極不符合 extremely disagree,1極不符合 extremely disagree,162.83
405,男,2003,6. 巨蟹座(6/22-7/22) Cancer,我不是台師大學生 Not NTNU student,3. 外向活潑 Outward and active,FALSE,2. 偶而參與 occasionally involve,4在課業上我應該算是很厲害的 excellent and outstanding,L1: 住在自己家裡(與父或母住在一起) live in home with parents,蘋果APPLE/Iphone,3. 一年以上未滿兩年 > 1 year less than 2 years,2. 有限制不是吃到飽 limited data,233,76,35,244,435,60,90,0,0,0,25,4非常符合 extremely agree,3符合 agree,1極不符合 extremely disagree,1極不符合 extremely disagree,221.67
406,女,2003,6. 巨蟹座(6/22-7/22) Cancer,我不是台師大學生 Not NTNU student,2. 中性平衡 Balance and equal,FALSE,2. 偶而參與 occasionally involve,4在課業上我應該算是很厲害的 excellent and outstanding,L1: 住在自己家裡(與父或母住在一起) live in home with parents,蘋果APPLE/Iphone,4. 二年以上未滿三年 > 2 years less than 3 years,2. 有限制不是吃到飽 limited data,0,500,10,0,1000,720,715,5,3,0,1,1極不符合 extremely disagree,4非常符合 extremely agree,4非常符合 extremely agree,4非常符合 extremely agree,661.79
407,女,2005,6. 巨蟹座(6/22-7/22) Cancer,我不是台師大學生 Not NTNU student,2. 中性平衡 Balance and equal,FALSE,2. 偶而參與 occasionally involve,3比其他同學稍好些 above average,L1: 住在自己家裡(與父或母住在一起) live in home with parents,蘋果APPLE/Iphone,5. 三年以上未滿四年 > 3 years less than 4 years,1. 吃到飽沒上限 unlimited data,400,100,30,300,300,0,60,10,0,0,30,4非常符合 extremely agree,3符合 agree,1極不符合 extremely disagree,1極不符合 extremely disagree,156.34
408,女,1977,7. 獅子座(7/23-8/22) Leo,我不是台師大學生 Not NTNU student,1. 內向安靜 Introvert and gentle,408,2. 偶而參與 occasionally involve,3比其他同學稍好些 above average,L2: 住在自己家裡(沒有與父母住在一起) live in home without parents,蘋果APPLE/Iphone,3. 一年以上未滿兩年 > 1 year less than 2 years,1. 吃到飽沒上限 unlimited data,155,400,18,50,200,0,0,60,2,0,30,1極不符合 extremely disagree,3符合 agree,2不符合 disagree,2不符合 disagree,527.16
409,男,1990,7. 獅子座(7/23-8/22) Leo,我不是台師大學生 Not NTNU student,5. 難以捉摸 Hart to say and unstable,FALSE,3. 積極參與 highly involve,3比其他同學稍好些 above average,L5: 租房子 rent a house/room out of school,蘋果APPLE/Iphone,5. 三年以上未滿四年 > 3 years less than 4 years,1. 吃到飽沒上限 unlimited data,453,160,31,138,264,0,0,60,0,0,20,2不符合 disagree,2不符合 disagree,1極不符合 extremely disagree,1極不符合 extremely disagree,187.33
410,女,1997,7. 獅子座(7/23-8/22) Leo,管理學院College of Management,3. 外向活潑 Outward and active,FALSE,3. 積極參與 highly involve,3比其他同學稍好些 above average,L3: 住在親戚/朋友家裡 live in relative/friend's house,三星SAMSUNG,3. 一年以上未滿兩年 > 1 year less than 2 years,1. 吃到飽沒上限 unlimited data,50,115,31,0,0,0,60,20,10,4,5,3符合 agree,4非常符合 extremely agree,2不符合 disagree,2不符合 disagree,484.51
411,女,1997,7. 獅子座(7/23-8/22) Leo,管理學院College of Management,2. 中性平衡 Balance and equal,FALSE,3. 積極參與 highly involve,2跟其他同學差不多 in average and similar to others,L3: 住在親戚/朋友家裡 live in relative/friend's house,三星SAMSUNG,3. 一年以上未滿兩年 > 1 year less than 2 years,1. 吃到飽沒上限 unlimited data,50,115,31,0,0,0,45,20,5,5,5,3符合 agree,4非常符合 extremely agree,1極不符合 extremely disagree,2不符合 disagree,167.34
412,男,1997,7. 獅子座(7/23-8/22) Leo,我不是台師大學生 Not NTNU student,4. 內外雙極 In-outward polarized,FALSE,2. 偶而參與 occasionally involve,2跟其他同學差不多 in average and similar to others,L5: 租房子 rent a house/room out of school,蘋果APPLE/Iphone,7. 五年以上 > 5 years and more,1. 吃到飽沒上限 unlimited data,3000,1,0,10.9k,100,120,40,20,1,0,20,3符合 agree,3符合 agree,3符合 agree,2不符合 disagree,470.01
413,女,1997,7. 獅子座(7/23-8/22) Leo,管理學院College of Management,3. 外向活潑 Outward and active,FALSE,3. 積極參與 highly involve,3比其他同學稍好些 above average,L3: 住在親戚/朋友家裡 live in relative/friend's house,三星SAMSUNG,3. 一年以上未滿兩年 > 1 year less than 2 years,1. 吃到飽沒上限 unlimited data,50,115,31,0,0,0,40,15,4,5,5,4非常符合 extremely agree,3符合 agree,1極不符合 extremely disagree,1極不符合 extremely disagree,131.09
414,女,1998,7. 獅子座(7/23-8/22) Leo,藝術學院College of Arts,1. 內向安靜 Introvert and gentle,414,3. 積極參與 highly involve,3比其他同學稍好些 above average,L4: 學校宿舍 live in school's dorm,三星SAMSUNG,5. 三年以上未滿四年 > 3 years less than 4 years,2. 有限制不是吃到飽 limited data,208,210,50,72,103,0,0,3,0,0,30,1極不符合 extremely disagree,1極不符合 extremely disagree,1極不符合 extremely disagree,1極不符合 extremely disagree,1072.06
415,女,2000,7. 獅子座(7/23-8/22) Leo,我不是台師大學生 Not NTNU student,2. 中性平衡 Balance and equal,FALSE,1. 從不參與  never involve,2跟其他同學差不多 in average and similar to others,L5: 租房子 rent a house/room out of school,三星SAMSUNG,4. 二年以上未滿三年 > 2 years less than 3 years,1. 吃到飽沒上限 unlimited data,500,400,10,200,300,180,60,30,4,0,25,3符合 agree,4非常符合 extremely agree,2不符合 disagree,2不符合 disagree,136.79
416,男,2001,7. 獅子座(7/23-8/22) Leo,文學院College of Liberal Arts,5. 難以捉摸 Hart to say and unstable,FALSE,2. 偶而參與 occasionally involve,2跟其他同學差不多 in average and similar to others,L1: 住在自己家裡(與父或母住在一起) live in home with parents,三星SAMSUNG,5. 三年以上未滿四年 > 3 years less than 4 years,1. 吃到飽沒上限 unlimited data,400,140,38,270,310,4,30,50,0,0,28,3符合 agree,2不符合 disagree,1極不符合 extremely disagree,1極不符合 extremely disagree,202.28
417,女,2001,7. 獅子座(7/23-8/22) Leo,我不是台師大學生 Not NTNU student,1. 內向安靜 Introvert and gentle,417,2. 偶而參與 occasionally involve,2跟其他同學差不多 in average and similar to others,L1: 住在自己家裡(與父或母住在一起) live in home with parents,Realme,3. 一年以上未滿兩年 > 1 year less than 2 years,1. 吃到飽沒上限 unlimited data,134,256,54,232,357,30,30,10,0,0,20,3符合 agree,4非常符合 extremely agree,2不符合 disagree,3符合 agree,254.09
418,男,2001,7. 獅子座(7/23-8/22) Leo,我不是台師大學生 Not NTNU student,4. 內外雙極 In-outward polarized,FALSE,2. 偶而參與 occasionally involve,3比其他同學稍好些 above average,L2: 住在自己家裡(沒有與父母住在一起) live in home without parents,蘋果APPLE/Iphone,2. 半年以上未滿一年  > .5 year less than 1 year,1. 吃到飽沒上限 unlimited data,345,418,78,517,715,0,189,30,0,0,20,1極不符合 extremely disagree,1極不符合 extremely disagree,1極不符合 extremely disagree,1極不符合 extremely disagree,319.24
419,女,2001,7. 獅子座(7/23-8/22) Leo,我不是台師大學生 Not NTNU student,3. 外向活潑 Outward and active,FALSE,2. 偶而參與 occasionally involve,2跟其他同學差不多 in average and similar to others,L1: 住在自己家裡(與父或母住在一起) live in home with parents,蘋果APPLE/Iphone,2. 半年以上未滿一年  > .5 year less than 1 year,1. 吃到飽沒上限 unlimited data,300,300,14,270,507,90,30,30,0,0,64,3符合 agree,3符合 agree,3符合 agree,2不符合 disagree,138.34
420,男,2001,7. 獅子座(7/23-8/22) Leo,管理學院College of Management,4. 內外雙極 In-outward polarized,FALSE,2. 偶而參與 occasionally involve,3比其他同學稍好些 above average,L1: 住在自己家裡(與父或母住在一起) live in home with parents,蘋果APPLE/Iphone,5. 三年以上未滿四年 > 3 years less than 4 years,1. 吃到飽沒上限 unlimited data,500,250,40,322,376,80,20,0,0,0,1,2不符合 disagree,3符合 agree,2不符合 disagree,1極不符合 extremely disagree,233.87
421,女,2001,7. 獅子座(7/23-8/22) Leo,文學院College of Liberal Arts,3. 外向活潑 Outward and active,FALSE,3. 積極參與 highly involve,2跟其他同學差不多 in average and similar to others,L5: 租房子 rent a house/room out of school,蘋果APPLE/Iphone,3. 一年以上未滿兩年 > 1 year less than 2 years,1. 吃到飽沒上限 unlimited data,2700,700,350,1147,335,360,60,15,3,5,40,3符合 agree,4非常符合 extremely agree,3符合 agree,3符合 agree,193.72
422,女,2001,7. 獅子座(7/23-8/22) Leo,教育學院College of Education,3. 外向活潑 Outward and active,FALSE,2. 偶而參與 occasionally involve,3比其他同學稍好些 above average,L1: 住在自己家裡(與父或母住在一起) live in home with parents,蘋果APPLE/Iphone,2. 半年以上未滿一年  > .5 year less than 1 year,1. 吃到飽沒上限 unlimited data,89,115,35,213,163,40,60,10,2,0,25,3符合 agree,3符合 agree,2不符合 disagree,2不符合 disagree,261.8
423,男,2001,7. 獅子座(7/23-8/22) Leo,我不是台師大學生 Not NTNU student,1. 內向安靜 Introvert and gentle,423,2. 偶而參與 occasionally involve,3比其他同學稍好些 above average,L1: 住在自己家裡(與父或母住在一起) live in home with parents,realme,3. 一年以上未滿兩年 > 1 year less than 2 years,1. 吃到飽沒上限 unlimited data,225,99,20,0,0,60,150,60,0,0,20,4非常符合 extremely agree,4非常符合 extremely agree,4非常符合 extremely agree,4非常符合 extremely agree,224
424,男,2001,7. 獅子座(7/23-8/22) Leo,我不是台師大學生 Not NTNU student,3. 外向活潑 Outward and active,FALSE,2. 偶而參與 occasionally involve,2跟其他同學差不多 in average and similar to others,L1: 住在自己家裡(與父或母住在一起) live in home with parents,三星SAMSUNG,1. 半年內 within an half year,1. 吃到飽沒上限 unlimited data,0,200,10,2427,7499,180,0,0,1,0,30,3符合 agree,2不符合 disagree,2不符合 disagree,2不符合 disagree,402.53
425,男,2001,7. 獅子座(7/23-8/22) Leo,我不是台師大學生 Not NTNU student,5. 難以捉摸 Hart to say and unstable,FALSE,2. 偶而參與 occasionally involve,2跟其他同學差不多 in average and similar to others,L5: 租房子 rent a house/room out of school,三星SAMSUNG,3. 一年以上未滿兩年 > 1 year less than 2 years,1. 吃到飽沒上限 unlimited data,300,150,33,190,220,30,180,30,1,0,10,4非常符合 extremely agree,3符合 agree,1極不符合 extremely disagree,1極不符合 extremely disagree,218.2
426,男,2002,7. 獅子座(7/23-8/22) Leo,管理學院College of Management,3. 外向活潑 Outward and active,FALSE,1. 從不參與  never involve,2跟其他同學差不多 in average and similar to others,L3: 住在親戚/朋友家裡 live in relative/friend's house,蘋果APPLE/Iphone,2. 半年以上未滿一年  > .5 year less than 1 year,1. 吃到飽沒上限 unlimited data,1043,739,154,256,270,200,100,30,3,0,10,3符合 agree,3符合 agree,3符合 agree,3符合 agree,256.46
427,男,2002,7. 獅子座(7/23-8/22) Leo,我不是台師大學生 Not NTNU student,1. 內向安靜 Introvert and gentle,427,2. 偶而參與 occasionally involve,3比其他同學稍好些 above average,L5: 租房子 rent a house/room out of school,三星SAMSUNG,4. 二年以上未滿三年 > 2 years less than 3 years,1. 吃到飽沒上限 unlimited data,326,89,74,76,74,70,30,0,0,0,30,2不符合 disagree,2不符合 disagree,2不符合 disagree,2不符合 disagree,149.01
428,男,2002,7. 獅子座(7/23-8/22) Leo,我不是台師大學生 Not NTNU student,1. 內向安靜 Introvert and gentle,428,2. 偶而參與 occasionally involve,1稍微有一點落後其他同學 below average,L5: 租房子 rent a house/room out of school,三星SAMSUNG,4. 二年以上未滿三年 > 2 years less than 3 years,1. 吃到飽沒上限 unlimited data,699,179,81,415,650,35,200,10,0,0,30,3符合 agree,3符合 agree,2不符合 disagree,2不符合 disagree,324.43
429,男,2002,7. 獅子座(7/23-8/22) Leo,文學院College of Liberal Arts,1. 內向安靜 Introvert and gentle,429,2. 偶而參與 occasionally involve,1稍微有一點落後其他同學 below average,L4: 學校宿舍 live in school's dorm,小米MI,3. 一年以上未滿兩年 > 1 year less than 2 years,1. 吃到飽沒上限 unlimited data,239,75,10,100,100,60,30,10,0,0,20,3符合 agree,2不符合 disagree,1極不符合 extremely disagree,1極不符合 extremely disagree,181.32
430,男,2002,7. 獅子座(7/23-8/22) Leo,管理學院College of Management,1. 內向安靜 Introvert and gentle,430,3. 積極參與 highly involve,2跟其他同學差不多 in average and similar to others,L5: 租房子 rent a house/room out of school,蘋果APPLE/Iphone,3. 一年以上未滿兩年 > 1 year less than 2 years,1. 吃到飽沒上限 unlimited data,500,200,80,200,150,30,80,5,3,0,5,2不符合 disagree,4非常符合 extremely agree,2不符合 disagree,2不符合 disagree,194.33
431,男,2002,7. 獅子座(7/23-8/22) Leo,我不是台師大學生 Not NTNU student,3. 外向活潑 Outward and active,FALSE,2. 偶而參與 occasionally involve,2跟其他同學差不多 in average and similar to others,L5: 租房子 rent a house/room out of school,蘋果APPLE/Iphone,3. 一年以上未滿兩年 > 1 year less than 2 years,1. 吃到飽沒上限 unlimited data,500,250,80,498,500,100,60,45,1,1,20,3符合 agree,3符合 agree,1極不符合 extremely disagree,1極不符合 extremely disagree,186.27
432,男,2002,7. 獅子座(7/23-8/22) Leo,教育學院College of Education,3. 外向活潑 Outward and active,FALSE,3. 積極參與 highly involve,2跟其他同學差不多 in average and similar to others,L4: 學校宿舍 live in school's dorm,小米MI,5. 三年以上未滿四年 > 3 years less than 4 years,1. 吃到飽沒上限 unlimited data,883,306,94,333,340,60,180,30,5,2,20,3符合 agree,4非常符合 extremely agree,4非常符合 extremely agree,3符合 agree,394.09
433,女,2002,7. 獅子座(7/23-8/22) Leo,音樂學院College of Music,2. 中性平衡 Balance and equal,FALSE,2. 偶而參與 occasionally involve,2跟其他同學差不多 in average and similar to others,L4: 學校宿舍 live in school's dorm,歐寶OPPO,5. 三年以上未滿四年 > 3 years less than 4 years,1. 吃到飽沒上限 unlimited data,98,109,78,86,243,0,60,10,0,0,30,1極不符合 extremely disagree,3符合 agree,2不符合 disagree,1極不符合 extremely disagree,164.85
434,女,2002,7. 獅子座(7/23-8/22) Leo,我不是台師大學生 Not NTNU student,5. 難以捉摸 Hart to say and unstable,FALSE,2. 偶而參與 occasionally involve,2跟其他同學差不多 in average and similar to others,L5: 租房子 rent a house/room out of school,蘋果APPLE/Iphone,5. 三年以上未滿四年 > 3 years less than 4 years,1. 吃到飽沒上限 unlimited data,566,143,26,245,170,1,90,3,2,0,30,4非常符合 extremely agree,4非常符合 extremely agree,4非常符合 extremely agree,2不符合 disagree,419.36
